-101,23,1,1
-101,24,1,1
-101,41,1,1
-100,6,1,1
-100,7,1,1
-100,8,1,1
-100,9,1,1
-100,10,1,1
-100,11,1,1
-100,12,1,1
-100,13,1,1
-100,14,1,1
-100,15,1,1
-100,16,1,1
-100,17,1,1
-100,18,1,1
-100,19,1,1
-100,20,1,1
-100,21,1,1
-100,22,1,1
-100,23,1,1
-100,24,1,1
-100,25,1,1
-100,26,1,1
-100,27,1,1
-100,28,1,1
-100,29,1,1
-100,30,1,1
-100,31,1,1
-100,32,1,1
-100,33,1,1
-100,34,1,1
-100,35,1,1
-100,36,1,1
-100,37,1,1
-100,38,1,1
-100,39,1,1
-100,40,1,1
-100,41,1,1
-100,42,1,1
-100,43,1,1
-100,44,1,1
-100,45,1,1
-100,46,1,1
-100,47,1,1
-100,48,1,1
-100,49,1,1
-100,50,1,1
-100,51,1,1
-100,52,1,1
-100,53,1,1
-100,54,1,1
-100,55,1,1
-100,56,1,1
-100,57,1,1
-100,58,1,1
-100,59,1,1
-99,6,1,1
-99,7,1,1
-99,49,1,1
-99,50,1,1
-99,51,1,1
-99,52,1,1
-99,53,1,1
-99,54,1,1
-99,55,1,1
-99,56,1,1
-99,57,1,1
-99,58,1,1
-99,59,1,1
-99,60,1,1
-99,61,1,1
-99,62,1,1
-99,63,1,1
-99,64,1,1
-99,65,1,1
-99,66,1,1
-99,67,1,1
-99,68,1,1
-99,69,1,1
-99,70,1,1
-99,71,1,1
-99,72,1,1
-99,73,1,1
-99,74,1,1
-99,75,1,1
-99,76,1,1
-99,77,1,1
-99,78,1,1
-99,79,1,1
-99,80,1,1
-99,81,1,1
-99,82,1,1
-99,83,1,1
-99,84,1,1
-99,85,1,1
-99,86,1,1
-99,87,1,1
-99,88,1,1
-99,89,1,1
-99,90,1,1
-99,91,1,1
-99,92,1,1
-99,93,1,1
-99,94,1,1
-99,96,1,1
-98,5,1,1
-98,6,1,1
-98,96,1,1
-98,97,1,1
-98,101,1,1
-97,4,1,1
-97,5,1,1
-97,97,1,1
-97,98,1,1
-97,101,1,1
-96,2,1,1
-96,3,1,1
-96,4,1,1
-96,101,1,1
-95,2,1,1
-95,3,1,1
-95,101,1,1
-94,0,1,1
-94,1,1,1
-94,2,1,1
-94,101,1,1
-93,-1,1,1
-93,0,1,1
-93,1,1,1
-93,101,1,1
-92,-2,1,1
-92,-1,1,1
-92,0,1,1
-92,101,1,1
-91,-3,1,1
-91,-2,1,1
-91,101,1,1
-90,-4,1,1
-90,-3,1,1
-90,101,1,1
-89,-5,1,1
-89,-4,1,1
-89,101,1,1
-88,-6,1,1
-88,-5,1,1
-88,101,1,1
-87,-7,1,1
-87,-6,1,1
-87,101,1,1
-86,-8,1,1
-86,-7,1,1
-86,101,1,1
-85,-9,1,1
-85,-8,1,1
-85,101,1,1
